ticker,name,quarters_analyzed,avg_confidence,avg_optimism,avg_hedging,avg_eps_surprise,avg_integrity_gap,worst_gap
COIN,Coinbase Global,3,8.33,8.33,2.67,-1.53,5.2,9.0
WRLD,World Acceptance,2,9.0,8.5,2.5,-0.58,4.8,7.02
HOOD,Robinhood Markets,1,10.0,10.0,0.0,-0.01,4.52,4.52
SOFI,SoFi Technologies,2,10.0,10.0,0.0,0.0,4.49,4.5
PYPL,PayPal,2,10.0,10.0,0.0,0.01,4.48,4.63
RPAY,Repay Holdings,1,10.0,10.0,2.0,0.01,4.48,4.48
TOST,Toast Inc,4,10.0,8.25,2.0,0.03,4.43,4.46
LC,LendingClub,3,10.0,10.0,0.0,0.05,4.39,4.48
RELY,Remitly Global,3,10.0,9.33,0.0,0.12,4.24,4.5
LMND,Lemonade,3,10.0,10.0,1.67,0.13,4.2,4.27
PRAA,PRA Group,3,10.0,10.0,0.0,0.4,3.59,4.43
FLYW,Flywire,4,8.75,8.5,2.0,-0.0,3.25,4.61
RM,Regional Management,3,8.67,8.67,3.67,0.07,3.02,4.52
ROOT,Root Inc,6,10.0,9.0,2.83,1.03,2.18,4.21
GDOT,Green Dot,2,8.0,8.0,4.5,0.2,2.06,4.16
IIIV,i3 Verticals,5,7.6,7.4,4.6,0.02,2.05,4.46
PGY,Pagaya Technologies,4,7.75,7.0,6.75,0.13,1.95,4.57
BILL,Bill Holdings,2,7.5,6.5,5.0,0.11,1.76,2.21
ENVA,Enova International,3,7.67,6.67,7.0,0.27,1.56,3.76
NCNO,nCino,5,6.8,6.6,3.6,0.07,1.15,4.14
AFRM,Affirm Holdings,1,6.0,6.0,0.0,-0.12,0.77,0.77
UPST,Upstart Holdings,3,5.67,5.33,13.0,0.0,0.16,0.41
MQ,Marqeta,3,5.67,5.33,18.33,0.02,0.11,1.48
OPEN,Opendoor Technologies,2,5.0,5.0,9.5,0.02,-0.53,-0.52
DAVE,Dave Inc,2,5.0,5.0,10.0,0.25,-1.06,-0.37
